file,lot,wafer,nsamp,dt
w_L01_W01.bin,1,1,3245,0.20000004768371582
w_L01_W02.bin,1,2,3298,0.20000004768371582
w_L01_W03.bin,1,3,3247,0.20000004768371582
w_L01_W04.bin,1,4,3247,0.20000004768371582
w_L01_W05.bin,1,5,3298,0.20000004768371582
w_L01_W06.bin,1,6,3246,0.20000004768371582
w_L01_W08.bin,1,8,3298,0.20000004768371582
w_L01_W09.bin,1,9,3246,0.20000004768371582
w_L01_W10.bin,1,10,3247,0.20000004768371582
w_L02_W01.bin,2,1,3245,0.20000004768371582
w_L02_W02.bin,2,2,3247,0.20000004768371582
w_L02_W03.bin,2,3,3247,0.20000004768371582
w_L02_W04.bin,2,4,3298,0.20000004768371582
w_L02_W05.bin,2,5,3247,0.20000004768371582
w_L02_W06.bin,2,6,3247,0.20000004768371582
w_L02_W07.bin,2,7,3247,0.20000004768371582
w_L02_W08.bin,2,8,3299,0.20000004768371582
w_L02_W09.bin,2,9,3246,0.20000004768371582
w_L02_W10.bin,2,10,3246,0.20000004768371582
w_L03_W01.bin,3,1,3247,0.20000004768371582
w_L03_W02.bin,3,2,3298,0.20000004768371582
w_L03_W03.bin,3,3,3247,0.20000004768371582
w_L03_W04.bin,3,4,3247,0.20000004768371582
w_L03_W05.bin,3,5,3195,0.20000004768371582
w_L03_W06.bin,3,6,3246,0.20000004768371582
w_L03_W07.bin,3,7,3246,0.20000004768371582
w_L03_W08.bin,3,8,3247,0.20000004768371582
w_L03_W09.bin,3,9,3247,0.20000004768371582
w_L03_W10.bin,3,10,3349,0.20000004768371582
w_L04_W01.bin,4,1,3247,0.20000004768371582
w_L04_W02.bin,4,2,3246,0.20000004768371582
w_L04_W03.bin,4,3,3195,0.20000004768371582
w_L04_W04.bin,4,4,3247,0.20000004768371582
w_L04_W05.bin,4,5,3195,0.20000004768371582
w_L04_W06.bin,4,6,3247,0.20000004768371582
w_L04_W07.bin,4,7,3299,0.20000004768371582
w_L04_W08.bin,4,8,3299,0.20000004768371582
w_L04_W09.bin,4,9,3351,0.20000004768371582
w_L04_W10.bin,4,10,3194,0.20000004768371582
w_L05_W01.bin,5,1,3196,0.20000004768371582
w_L05_W02.bin,5,2,3351,0.20000004768371582
w_L05_W03.bin,5,3,3247,0.20000004768371582
w_L05_W04.bin,5,4,3299,0.20000004768371582
w_L05_W05.bin,5,5,3246,0.20000004768371582
w_L05_W06.bin,5,6,3247,0.20000004768371582
w_L05_W07.bin,5,7,3246,0.20000004768371582
w_L05_W08.bin,5,8,3247,0.20000004768371582
w_L05_W09.bin,5,9,3195,0.20000004768371582
w_L05_W10.bin,5,10,3245,0.20000004768371582
w_L06_W01.bin,6,1,3299,0.20000004768371582
w_L06_W02.bin,6,2,3246,0.20000004768371582
w_L06_W03.bin,6,3,3247,0.20000004768371582
w_L06_W04.bin,6,4,3247,0.20000004768371582
w_L06_W05.bin,6,5,3246,0.20000004768371582
w_L06_W06.bin,6,6,3297,0.20000004768371582
w_L06_W07.bin,6,7,3298,0.20000004768371582
w_L06_W08.bin,6,8,3246,0.20000004768371582
w_L06_W09.bin,6,9,3245,0.20000004768371582
w_L06_W10.bin,6,10,3245,0.20000004768371582
w_L07_W01.bin,7,1,3245,0.20000004768371582
w_L07_W02.bin,7,2,3247,0.20000004768371582
w_L07_W03.bin,7,3,3299,0.20000004768371582
w_L07_W04.bin,7,4,3247,0.20000004768371582
w_L07_W05.bin,7,5,3247,0.20000004768371582
w_L07_W06.bin,7,6,3247,0.20000004768371582
w_L08_W01.bin,8,1,3299,0.20000004768371582
w_L08_W02.bin,8,2,3298,0.20000004768371582
w_L08_W03.bin,8,3,3298,0.20000004768371582
w_L08_W04.bin,8,4,3247,0.20000004768371582
w_L08_W05.bin,8,5,3247,0.20000004768371582
w_L08_W06.bin,8,6,3246,0.20000004768371582
w_L08_W07.bin,8,7,3246,0.20000004768371582
w_L08_W08.bin,8,8,3835,0.20000004768371582
w_L08_W09.bin,8,9,3246,0.20000004768371582
w_L08_W10.bin,8,10,3246,0.20000004768371582
w_L09_W01.bin,9,1,3245,0.20000004768371582
w_L09_W02.bin,9,2,3245,0.20000004768371582
w_L09_W03.bin,9,3,3246,0.20000004768371582
w_L09_W04.bin,9,4,3246,0.20000004768371582
w_L09_W05.bin,9,5,3246,0.20000004768371582
w_L09_W06.bin,9,6,3298,0.20000004768371582
w_L09_W07.bin,9,7,3246,0.20000004768371582
w_L09_W08.bin,9,8,3245,0.20000004768371582
w_L09_W10.bin,9,10,3245,0.20000004768371582
w_L10_W01.bin,10,1,3194,0.20000004768371582
w_L10_W02.bin,10,2,3298,0.20000004768371582
w_L10_W03.bin,10,3,3245,0.20000004768371582
w_L10_W04.bin,10,4,3246,0.20000004768371582
