gn,lot,wafer,nsamp,PlatenRFTuningCapacitor,SourceRFReflectedPower,SourceRFPeakToPeak,depth,pred,h,sd,resid,z,pred_full
Day_2024_07_02_Wafer_01,1,1,24,31.078142,235.34985,3178.7126,44.687901,44.764225,0.11265243,0.15874353,-0.076324312,-0.48080268,44.767591
Day_2024_07_02_Wafer_02,1,2,39,31.311596,240.29649,3190.1152,44.438852,44.342773,0.0184827,0.15187738,0.096078734,0.63260727,44.343712
Day_2024_07_02_Wafer_03,1,3,24,31.2493,237.64128,3183.2649,44.552597,44.359635,0.029707228,0.15271199,0.19296141,1.2635642,44.362075
Day_2024_07_02_Wafer_04,1,4,24,31.477045,232.52179,3175.4316,44.31397,44.365311,0.040497545,0.15351004,-0.051341017,-0.33444728,44.367698
Day_2024_07_02_Wafer_05,1,5,39,31.45746,238.39415,3185.2639,43.843354,44.006813,0.0032912033,0.15074044,-0.1634587,-1.084372,44.008438
Day_2024_07_02_Wafer_06,1,6,24,31.509979,236.65198,3178.668,44.00098,43.985802,0.015928815,0.15168684,0.015177961,0.10006116,43.988614
Day_2024_07_02_Wafer_08,1,8,39,31.463095,237.58347,3185.6433,43.521185,43.602958,0.014208702,0.15155837,-0.081772848,-0.53954689,43.604805
Day_2024_07_02_Wafer_09,1,9,24,31.291647,225.19862,3176.1758,43.762161,43.802663,0.070569844,0.1557126,-0.04050237,-0.26010977,43.804729
Day_2024_07_02_Wafer_10,1,10,24,31.412956,233.26442,3177.3074,43.707078,43.525684,0.045055269,0.15384589,0.18139358,1.1790603,43.529125
Day_2024_07_05_Wafer_01,2,1,23,30.949352,227.33371,3183.4651,44.610999,44.850782,0.10413389,0.15813468,-0.23978302,-1.5163215,44.814966
Day_2024_07_05_Wafer_02,2,2,24,31.306015,235.08662,3188.2434,44.608287,44.450455,0.017567187,0.1518091,0.15783122,1.039669,44.437801
Day_2024_07_05_Wafer_03,2,3,24,31.334753,236.64941,3186.7297,44.358109,44.313932,0.0097006101,0.15122116,0.04417682,0.29213384,44.301758
Day_2024_07_05_Wafer_04,2,4,39,31.37639,244.52917,3193.3979,43.842116,43.951334,0.026724677,0.15249067,-0.10921868,-0.71623188,43.956248
Day_2024_07_05_Wafer_05,2,5,24,31.283636,235.75676,3183.1504,43.963178,44.127636,0.012332576,0.15141813,-0.16445892,-1.0861244,44.108989
Day_2024_07_05_Wafer_06,2,6,24,31.291519,238.06981,3181.491,43.835737,43.988575,0.023488089,0.15225013,-0.1528378,-1.0038599,43.97036
Day_2024_07_05_Wafer_07,2,7,24,31.546982,234.60979,3185.7761,43.71951,43.766287,0.007850678,0.15108257,-0.046777235,-0.30961371,43.757317
Day_2024_07_05_Wafer_08,2,8,39,31.463173,241.68312,3190.5459,43.38643,43.475468,0.033366239,0.15298308,-0.08903728,-0.58200737,43.477018
Day_2024_07_05_Wafer_09,2,9,23,31.169882,221.85364,3179.77,43.611349,43.851038,0.094323661,0.1574306,-0.23968847,-1.5225024,43.812509
Day_2024_07_05_Wafer_10,2,10,24,31.295206,235.00142,3180.5247,43.529724,43.502161,0.043087542,0.15370098,0.027562806,0.17932745,43.48049
Day_2024_07_09_Wafer_01,3,1,24,31.072676,234.04646,3185.821,44.580282,44.66106,0.053996496,0.15450262,-0.080777607,-0.52282354,44.671294
Day_2024_07_09_Wafer_02,3,2,39,31.388754,241.72301,3197.0684,44.29896,44.190948,0.034108787,0.15303803,0.10801172,0.70578353,44.200192
Day_2024_07_09_Wafer_03,3,3,24,31.279566,233.41193,3188.9109,44.569119,44.304542,0.013017678,0.15146936,0.26457717,1.7467373,44.317359
Day_2024_07_09_Wafer_04,3,4,24,31.283381,233.57469,3188.1096,44.375321,44.179056,0.0072000495,0.15103379,0.1962655,1.2994807,44.191951
Day_2024_07_09_Wafer_05,3,5,45,34.43668,225.17099,3141.4121,44.279802,44.261596,0.1453349,0.16105808,0.018206573,0.11304353,44.268533
Day_2024_07_09_Wafer_06,3,6,24,31.410158,235.37909,3184.8479,44.017522,43.914127,0.0021485466,0.15065457,0.1033952,0.68630643,43.925689
Day_2024_07_09_Wafer_07,3,7,23,31.179037,229.65445,3187.061,43.902173,43.854246,0.02335167,0.15223998,0.047927386,0.31481472,43.870851
Day_2024_07_09_Wafer_08,3,8,24,31.329412,234.95056,3185.929,43.822109,43.645977,0.013013275,0.15146903,0.1761322,1.1628265,43.659032
Day_2024_07_09_Wafer_09,3,9,24,31.490271,232.23567,3177.3584,43.746327,43.647916,0.030159506,0.15274553,0.09841052,0.64427759,43.660681
Day_2024_07_09_Wafer_10,3,10,24,31.871496,239.48637,3181.5994,43.293035,43.283403,0.049203565,0.15415093,0.0096319416,0.062483838,43.293227
Day_2024_07_11_Wafer_01,4,1,24,31.162577,235.99074,3188.1924,44.611875,44.573324,0.035155327,0.15311545,0.038551774,0.25178239,44.591898
Day_2024_07_11_Wafer_02,4,2,24,31.288849,235.72115,3188.968,44.673025,44.407383,0.016554691,0.15173356,0.2656421,1.7507143,44.422019
Day_2024_07_11_Wafer_03,4,3,44,34.032578,221.05597,3154.0742,44.62099,44.45813,0.19450144,0.16447868,0.1628602,0.99015998,44.468826
Day_2024_07_11_Wafer_04,4,4,24,31.342255,239.20662,3187.207,44.29751,44.11956,0.0071351146,0.15102893,0.17795059,1.178255,44.126219
Day_2024_07_11_Wafer_05,4,5,45,34.427795,221.96519,3136.835,44.231356,44.378374,0.15394182,0.1616621,-0.14701808,-0.90941589,44.38207
Day_2024_07_11_Wafer_06,4,6,24,31.397697,237.03345,3186.7429,43.95273,43.878287,0.0021467191,0.15065443,0.07444377,0.49413593,43.877959
